industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Product Management,Product Manager,Manager,7,"['Product Strategy', 'Market Analysis', 'A/B Testing', 'User Research', 'Agile', 'JIRA', 'Scrum']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: Product Strategy, Market Analysis, A/B Testing, User Research, Agile, JIRA, Scrum. Key Skills: Product Strategy, Market Analysis, A/B Testing, User Research, Agile, JIRA, Scrum. Key Skills: Product Strategy, Market Analysis, A/B Testing, User Research, Agile, JIRA, Scrum. "
Cloud Engineering,Cloud Architect,Entry,0,"['CI/CD', 'AWS', 'Docker', 'GCP', 'Kubernetes', 'Azure', 'Terraform', 'Jenkins']","['Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect', 'Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: CI/CD, AWS, Docker, GCP, Kubernetes, Azure, Terraform, Jenkins. Key Skills: CI/CD, AWS, Docker, GCP, Kubernetes, Azure, Terraform, Jenkins. Key Skills: CI/CD, AWS, Docker, GCP, Kubernetes, Azure, Terraform, Jenkins. Relevant Certifications: Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect, Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA). "
Data Science,Data Scientist,Mid-Level,3,"['Python', 'SQL', 'Scikit-learn', 'Big Data', 'TensorFlow']",['Google Professional Data Engineer'],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Mid-Level Career Level: Mid-Level Industry: Data Science Industry: Data Science Years of Experience: approximately 3 years. Key Skills: Python, SQL, Scikit-learn, Big Data, TensorFlow. Key Skills: Python, SQL, Scikit-learn, Big Data, TensorFlow. Key Skills: Python, SQL, Scikit-learn, Big Data, TensorFlow. Relevant Certifications: Google Professional Data Engineer. "
Data Science,Senior Data Scientist,Senior,8,"['Pandas', 'NumPy', 'PyTorch', 'Spark']","['TensorFlow Developer Certificate', 'Google Professional Data Engineer']","Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Pandas, NumPy, PyTorch, Spark. Key Skills: Pandas, NumPy, PyTorch, Spark. Key Skills: Pandas, NumPy, PyTorch, Spark. Relevant Certifications: TensorFlow Developer Certificate, Google Professional Data Engineer. "
Cloud Engineering,Cloud Architect,Mid-Level,2,"['CI/CD', 'Grafana', 'Docker', 'Ansible', 'Terraform', 'AWS', 'Kubernetes', 'GCP']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: CI/CD, Grafana, Docker, Ansible, Terraform, AWS, Kubernetes, GCP. Key Skills: CI/CD, Grafana, Docker, Ansible, Terraform, AWS, Kubernetes, GCP. Key Skills: CI/CD, Grafana, Docker, Ansible, Terraform, AWS, Kubernetes, GCP. "
Cloud Engineering,Cloud Engineer,Mid-Level,5,"['Grafana', 'Docker', 'Ansible', 'Jenkins', 'Azure', 'GCP']",[],"Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Grafana, Docker, Ansible, Jenkins, Azure, GCP. Key Skills: Grafana, Docker, Ansible, Jenkins, Azure, GCP. Key Skills: Grafana, Docker, Ansible, Jenkins, Azure, GCP. "
Data Science,Senior Data Scientist,Senior,7,"['R', 'NumPy', 'SQL', 'Scikit-learn', 'Pandas', 'Machine Learning', 'Data Mining', 'TensorFlow']",['Google Professional Data Engineer'],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: R, NumPy, SQL, Scikit-learn, Pandas, Machine Learning, Data Mining, TensorFlow. Key Skills: R, NumPy, SQL, Scikit-learn, Pandas, Machine Learning, Data Mining, TensorFlow. Key Skills: R, NumPy, SQL, Scikit-learn, Pandas, Machine Learning, Data Mining, TensorFlow. Relevant Certifications: Google Professional Data Engineer. "
Cloud Engineering,Site Reliability Engineer (SRE),Entry,1,"['Docker', 'Prometheus', 'AWS', 'Jenkins', 'Ansible', 'Azure', 'GCP', 'Terraform']",[],"Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: Docker, Prometheus, AWS, Jenkins, Ansible, Azure, GCP, Terraform. Key Skills: Docker, Prometheus, AWS, Jenkins, Ansible, Azure, GCP, Terraform. Key Skills: Docker, Prometheus, AWS, Jenkins, Ansible, Azure, GCP, Terraform. "
Cloud Engineering,Cloud Architect,Entry,0,"['Terraform', 'Prometheus', 'AWS', 'Grafana', 'Ansible', 'Kubernetes', 'Azure']","['AWS Certified Solutions Architect', 'Certified Kubernetes Administrator (CKA)', 'Microsoft Certified: Azure Administrator']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: Terraform, Prometheus, AWS, Grafana, Ansible, Kubernetes, Azure. Key Skills: Terraform, Prometheus, AWS, Grafana, Ansible, Kubernetes, Azure. Key Skills: Terraform, Prometheus, AWS, Grafana, Ansible, Kubernetes, Azure. Relevant Certifications: AWS Certified Solutions Architect, Certified Kubernetes Administrator (CKA), Microsoft Certified: Azure Administrator. "
Data Science,Data Scientist,Entry,1,"['Python', 'R', 'Big Data', 'NumPy', 'TensorFlow']",[],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Entry Career Level: Entry Industry: Data Science Industry: Data Science Years of Experience: approximately 1 years. Key Skills: Python, R, Big Data, NumPy, TensorFlow. Key Skills: Python, R, Big Data, NumPy, TensorFlow. Key Skills: Python, R, Big Data, NumPy, TensorFlow. "
Cybersecurity,Security Engineer,Mid-Level,2,"['ISO 27001', 'Ethical Hacking', 'Intrusion Detection', 'Cryptography', 'Firewalls', 'SIEM']",[],"Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: ISO 27001, Ethical Hacking, Intrusion Detection, Cryptography, Firewalls, SIEM. Key Skills: ISO 27001, Ethical Hacking, Intrusion Detection, Cryptography, Firewalls, SIEM. Key Skills: ISO 27001, Ethical Hacking, Intrusion Detection, Cryptography, Firewalls, SIEM. "
Cloud Engineering,DevOps Engineer,Mid-Level,3,"['Grafana', 'Jenkins', 'Ansible', 'CI/CD', 'GCP', 'Terraform']",['Google Certified Professional Cloud Architect'],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 3 years. Key Skills: Grafana, Jenkins, Ansible, CI/CD, GCP, Terraform. Key Skills: Grafana, Jenkins, Ansible, CI/CD, GCP, Terraform. Key Skills: Grafana, Jenkins, Ansible, CI/CD, GCP, Terraform. Relevant Certifications: Google Certified Professional Cloud Architect. "
Cloud Engineering,Cloud Architect,Entry,0,"['Prometheus', 'CI/CD', 'Docker', 'AWS', 'Grafana', 'Jenkins', 'Azure']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: Prometheus, CI/CD, Docker, AWS, Grafana, Jenkins, Azure. Key Skills: Prometheus, CI/CD, Docker, AWS, Grafana, Jenkins, Azure. Key Skills: Prometheus, CI/CD, Docker, AWS, Grafana, Jenkins, Azure. "
Cloud Engineering,Cloud Architect,Mid-Level,2,"['CI/CD', 'Jenkins', 'Grafana', 'AWS', 'Ansible', 'Azure', 'Prometheus', 'Docker']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: CI/CD, Jenkins, Grafana, AWS, Ansible, Azure, Prometheus, Docker. Key Skills: CI/CD, Jenkins, Grafana, AWS, Ansible, Azure, Prometheus, Docker. Key Skills: CI/CD, Jenkins, Grafana, AWS, Ansible, Azure, Prometheus, Docker. "
Cloud Engineering,Site Reliability Engineer (SRE),Mid-Level,4,"['GCP', 'Docker', 'Azure', 'Ansible', 'CI/CD']","['Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 4 years. Key Skills: GCP, Docker, Azure, Ansible, CI/CD. Key Skills: GCP, Docker, Azure, Ansible, CI/CD. Key Skills: GCP, Docker, Azure, Ansible, CI/CD. Relevant Certifications: Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Product Management,Product Manager,Manager,19,"['JIRA', 'Agile', 'A/B Testing', 'Roadmapping']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 19 years. Key Skills: JIRA, Agile, A/B Testing, Roadmapping. Key Skills: JIRA, Agile, A/B Testing, Roadmapping. Key Skills: JIRA, Agile, A/B Testing, Roadmapping. "
Product Management,Director of Product,Entry,0,"['JIRA', 'A/B Testing', 'Product Strategy', 'Roadmapping']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 0 years. Key Skills: JIRA, A/B Testing, Product Strategy, Roadmapping. Key Skills: JIRA, A/B Testing, Product Strategy, Roadmapping. Key Skills: JIRA, A/B Testing, Product Strategy, Roadmapping. "
Product Management,Product Manager,Manager,13,"['Product Strategy', 'Roadmapping', 'A/B Testing', 'JIRA']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 13 years. Key Skills: Product Strategy, Roadmapping, A/B Testing, JIRA. Key Skills: Product Strategy, Roadmapping, A/B Testing, JIRA. Key Skills: Product Strategy, Roadmapping, A/B Testing, JIRA. "
Software Engineering,Principal Engineer,Lead/Principal,12,"['MongoDB', 'Node.js', 'Microservices', 'C++', 'Kubernetes', 'Go']",[],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: MongoDB, Node.js, Microservices, C++, Kubernetes, Go. Key Skills: MongoDB, Node.js, Microservices, C++, Kubernetes, Go. Key Skills: MongoDB, Node.js, Microservices, C++, Kubernetes, Go. "
Data Science,Lead Data Scientist,Senior,7,"['Scikit-learn', 'Big Data', 'NumPy', 'PyTorch', 'SQL']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: Scikit-learn, Big Data, NumPy, PyTorch, SQL. Key Skills: Scikit-learn, Big Data, NumPy, PyTorch, SQL. Key Skills: Scikit-learn, Big Data, NumPy, PyTorch, SQL. "
Cybersecurity,Security Analyst,Entry,2,"['Firewalls', 'ISO 27001', 'Network Security', 'SIEM', 'Intrusion Detection', 'Ethical Hacking', 'Cryptography']","['Certified Ethical Hacker (CEH)', 'CompTIA Security+', 'Certified Information Systems Security Professional (CISSP)']","Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Firewalls, ISO 27001, Network Security, SIEM, Intrusion Detection, Ethical Hacking, Cryptography. Key Skills: Firewalls, ISO 27001, Network Security, SIEM, Intrusion Detection, Ethical Hacking, Cryptography. Key Skills: Firewalls, ISO 27001, Network Security, SIEM, Intrusion Detection, Ethical Hacking, Cryptography. Relevant Certifications: Certified Ethical Hacker (CEH), CompTIA Security+, Certified Information Systems Security Professional (CISSP). "
Cloud Engineering,Cloud Architect,Mid-Level,3,"['CI/CD', 'GCP', 'Ansible', 'Kubernetes', 'Prometheus', 'Grafana', 'Docker', 'Azure']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 3 years. Key Skills: CI/CD, GCP, Ansible, Kubernetes, Prometheus, Grafana, Docker, Azure. Key Skills: CI/CD, GCP, Ansible, Kubernetes, Prometheus, Grafana, Docker, Azure. Key Skills: CI/CD, GCP, Ansible, Kubernetes, Prometheus, Grafana, Docker, Azure. "
Data Science,Lead Data Scientist,Senior,9,"['PyTorch', 'NumPy', 'Python', 'SQL', 'TensorFlow', 'Machine Learning', 'Big Data', 'Spark']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: PyTorch, NumPy, Python, SQL, TensorFlow, Machine Learning, Big Data, Spark. Key Skills: PyTorch, NumPy, Python, SQL, TensorFlow, Machine Learning, Big Data, Spark. Key Skills: PyTorch, NumPy, Python, SQL, TensorFlow, Machine Learning, Big Data, Spark. "
Software Engineering,Senior Software Engineer,Senior,8,"['Go', 'MongoDB', 'Microservices', 'Docker', 'Node.js', 'Kubernetes', 'Java', 'JavaScript']","['AWS Certified Developer', 'Certified Kubernetes Application Developer (CKAD)']","Job Title: Senior Software Engineer Job Title: Senior Software Engineer Job Title: Senior Software Engineer Career Level: Senior Career Level: Senior Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 8 years. Key Skills: Go, MongoDB, Microservices, Docker, Node.js, Kubernetes, Java, JavaScript. Key Skills: Go, MongoDB, Microservices, Docker, Node.js, Kubernetes, Java, JavaScript. Key Skills: Go, MongoDB, Microservices, Docker, Node.js, Kubernetes, Java, JavaScript. Relevant Certifications: AWS Certified Developer, Certified Kubernetes Application Developer (CKAD). "
